Fund,Amc,Product,Aum,Returns 1 Yr,Returns 3 Yr,Returns 5 Yr,Returns 3 Months,Asset Class,Classification Name,Sharpe Ratio 1 Yr,Sharpe Ratio 3 Yr,Sortino 1 Yr,Sortino 3 Yr,Max Drawdown Perc 1yr,Max Drawdown Duration Days 1yr,Max Drawdown Duration Days 3yr,Max Drawdown Perc 3yr,Max Drawdown Time To Recovery Days 1yr,Max Drawdown Time To Recovery Days 3yr,Expense Ratio,Fund Manager,Inception Date,Pb Ratio,Pe Ratio,Returns Since Inception,Std 1 Yr,Std 3 Yr,Treynor Ratio 1 Yr,Treynor Ratio 3 Yr,Alpha 1 Yr,Alpha 3 Yr,Benchmark Name,Beta 1 Yr,Beta 3 Yr,Scheme Rolling Min 1 Yr,Scheme Rolling Negative 1 Yr,Scheme Rolling Negative 3 Yr,Scheme Rolling Negative 5 Yr,Scheme Rolling Neutral 1 Yr,Scheme Rolling Neutral 3 Yr,Scheme Rolling Neutral 5 Yr,Scheme Rolling Positive 1 Yr,Scheme Rolling Positive 3 Yr,Scheme Rolling Positive 5 Yr
Carnelian Capital - Contra Portfolio Strategy,Carnelian Asset Management & Advisors Private Limited,PMS,120.76,-2.58,32.62,,4.39,Equity,Equity: Multi Cap,-0.34,1.29,-0.59,2.14,-18.23,60,121,-25.24,,,,Manoj Bahety,27-Jan-22,2.9,21.7,29.03,18.86,19.33,-5.05,18.85,-7.09,11.27,S&P BSE 500 Total Return Index,1.27,1.32,-15.68,12.28,0,,0,0,,87.72,100,
Arthya - All-Star multi-cap,Arthya Wealth and Investments Pvt Ltd,PMS,42.98,25.67,16.9,,1.84,Equity,Equity: Flexi Cap,1.37,0.68,2.28,1.27,,,,,,,,Bhaskar Bukrediwala,23-Jul-21,5.74,38.11,15.53,12.21,14.27,26.56,11.04,11.47,2.41,S&P BSE 500 Total Return Index,0.63,0.88,-7.47,16.91,0,,8.96,0,,74.13,100,
Trivantage Capital - Focussed Corp Lenders (Plan B),Trivantage Capital Management,PMS,16.08,17.13,13.33,7.73,10.51,Equity,Equity: Multi Cap,0.66,0.43,1.62,0.79,,,,,,,,Nikhil Johri,10-Dec-18,2.16,14.63,8.65,15.41,16.03,10.17,7.28,-12,-3.42,NIFTY 50 Total Return Index,1,0.95,-43.82,24.74,4.6,0,2.7,2.03,0,72.55,93.37,100
SHREE RAMA MANAGERS - Shree Wealth Builder Plan,Shree rama managers LLP,PMS,37.54,8.36,18.08,,3.85,Multi Asset,Multi Asset,0.29,1.21,0.41,2.13,-10.93,112,112,-10.93,60,60,,MOHIT BERIWALA,7-Apr-22,,,14.5,10.12,9.58,2.58,10.59,-1.92,4.27,NSE Multi Asset Index 2,1.12,1.09,-0.38,0,0,,0.96,0,,99.04,100,
NAFA CLEAN TECH PORTFOLIO,Nafa Asset Managers Pvt Ltd,PMS,12.91,-5.84,25.26,,1.61,Equity,Equity: Mid Cap,-0.26,0.89,-0.29,1.06,-31.51,118,175,-32.66,,,,N.BALAJI VAIDYANATH,22-Sep-21,6.01,60.6,24.24,29.19,22.09,-4.89,17.61,-8.48,8.15,S&P BSE 500 Total Return Index,1.57,1.12,-13.33,19.54,0,,3.35,0,,77.11,100,
LIC MF Factor Advantage,LIC Mutual Fund Asset Management Ltd,PMS,0.92,16.76,,,5.6,Equity,Equity: Large Cap,0.91,,1.8,,,,,,,,,Mr. Mahesh Bendre,2-Mar-21,3.39,23.29,8.61,10.02,,11.56,3.7,2.35,,NIFTY 50 Total Return Index,0.79,,-11.51,41.52,,,10.55,,,47.92,,
Equirus Core Equity,Equirus Wealth Pvt Ltd,PMS,66.69,-2.43,11.03,,-0.86,Equity,Equity: Multi Cap,-0.45,0.45,-0.61,0.67,-19.15,117,158,-22.31,,,,Gaurav Arora,27-May-22,,17.8,13.63,15.61,12.42,-6.75,6.83,-7.51,-2.85,S&P BSE 500 Total Return Index,1.03,0.82,-10.11,12.37,0,,5.85,0,,81.78,100,
SBI AEON ALPHA PMS,SBI MF,PMS,681.64,-8.36,15.46,,-0.42,Equity,Equity: Multi Cap,-0.8,0.66,-0.91,0.98,-20.96,82,138,-21.6,,,,Gaurav Mehta,21-Jan-22,,,13.37,16.39,14.94,-12.86,12.41,-15.42,3.43,NIFTY 50 Total Return Index,1.01,0.8,-14.51,13.99,0,,3.25,0,,82.76,100,
ICICI SECURITIES-ACE EQUITY PORTFOLIO,ICICI SECURITIES LTD,PMS,340.84,1.06,18.4,,4.96,Equity,Equity: Multi Cap,-0.2,0.79,-0.28,1.48,-19.05,74,236,-21.07,,,,Vimal Bhandari,5-Dec-20,4.2,30.3,16.96,16.57,15.53,-2.75,12.13,-6.16,4.07,NIFTY 50 Total Return Index,1.21,1.01,-10.04,18.76,0,,5.76,0,,75.47,100,
Eklavya Equity,Eklavya Capital Advisors LLP,PMS,4.63,7.72,,,0.08,Equity,Equity: Flexi Cap,0.31,,0.64,,,,,,,,,Abhishek Chauhan,1-Jul-24,8.97,34.54,12.14,6.69,,4.19,,0.9,,NIFTY 50 Total Return Index,0.49,,4.03,0,,,0,,,100,,
Valcreate Growing India,Valcreate Investment Managers LLP,PMS,,-4.47,,,-5.7,Equity,Equity: Flexi Cap,-0.32,,-0.5,,,,,,,,,Rajesh Pherwani,1-Apr-23,,,17.13,23.73,,-5.35,,-8.33,,S&P BSE 500 Total Return Index,1.42,,,,,,,,,,,
Valcreate Lifesciences and Specialty Opportunities,Valcreate Investment Managers LLP,PMS,,-8.16,,,-14.6,Equity,Thematic,-0.44,,-0.82,,,,,,,,,Rajesh Pherwani,1-Apr-23,,,15.05,25.33,,-9.63,,-11.76,,S&P BSE 500 Total Return Index,1.16,,,,,,,,,,,
Ayan-PriceBridge Honeycomb,Ayan Analytics Pvt Ltd,PMS,32.11,9.99,,,7.99,Equity,Other: ETFs,0.36,,0.59,,-13.74,117,,,63,,,Mahesh Gowande,27-Jan-23,2.81,0,16.53,13.22,,4.69,,2.37,,NIFTY 50 Total Return Index,1.01,,-21.88,1.09,,,4.04,,,94.88,,
Samvitti-PMS Active Alpha Multicap,Samvitti Capital Private Limited,PMS,430.52,-9.54,33.3,,-0.04,Equity,Equity: Multi Cap,-0.36,1.08,-0.51,1.33,-32.66,76,76,-32.66,,,,Prabhakar Kudva,13-Apr-21,6.34,45.79,29.07,31.04,24.42,-6.72,22.41,-11.87,14.24,S&P BSE 500 Total Return Index,1.64,1.18,-15.3,23.57,0,,3,0,,73.42,100,
Bay India Opportunities Portfolio,Bay capital investment advisors private limited,PMS,105.79,5.95,,,4.74,Equity,Equity: Flexi Cap,0.07,,0.08,,-11.03,91,,,122,,,Nikunj Doshi,19-Jan-23,4.3,25.1,19.22,11.85,,1.04,,-1.04,,NIFTY 50 Total Return Index,0.79,,-4.34,14.11,,,0,,,85.89,,
All-Star Opportunities,Arthya Wealth and Investments Pvt Ltd,PMS,34.11,21.67,,,-0.9,Equity,Equity: Multi Cap,1.09,,4.14,,,,,,,,,Bhaskar Bukrediwala,6-May-22,4.2,28.11,23.49,12.39,,22.45,,11.56,,NIFTY 50 Total Return Index,0.6,,6.73,0,,,0,,,100,,
Samvitti-PMS Aggressive Growth,Samvitti Capital Private Limited,PMS,362.11,-9.11,23.2,22.76,0.49,Equity,Equity: Multi Cap,-0.4,0.82,-0.57,1.02,-31.67,112,112,-31.67,,,,Prabhakar Kudva,23-Oct-15,6.16,44.8,13.74,28.61,21.42,-7.5,16.57,-12.11,6.67,S&P BSE 500 Total Return Index,1.51,1.06,-31.52,34.39,11.69,0,3,2.3,0,62.6,86.01,100
Scient Smart Beta PMS,Scient Capital Pvt Ltd,PMS,0.7,32.94,,,7.03,Equity,Equity: Large & Mid Cap,,,,,,,,,,,,Mr. Ramesh Rachuri,18-Feb-23,,,30.4,,,,,,,MSEI SX 40 - Total Return Index,,,28.7,0,,,0,,,100,,
NARNOLIA MULTI-ASSET STRATEGY,Narnolia Financial Advisors Ltd,PMS,77.15,6.69,14.64,19.26,3.07,Equity,Multi Asset,0.13,0.73,0.17,1.17,-14.79,75,156,-17.46,100,240,,Mr. Shailendra Kumar,26-Aug-19,,,16.82,13.84,12.1,1.64,9.17,-0.76,1.01,NIFTY 50 Total Return Index,1.07,0.96,-4.1,2.75,0,0,6.49,0,0,90.76,100,100
NARNOLIA FUSION OPPORTUNITY STRATEGY,Narnolia Financial Advisors Ltd,PMS,37.68,-10.2,18.02,,-2.1,Equity,Equity: Multi Cap,-0.73,0.69,-0.85,1.06,-26.34,92,92,-26.34,,,,Mr. Shailendra Kumar,26-Sep-22,,,17.86,19.71,18.26,-26.03,18.21,-15.71,7.02,NIFTY 50 Total Return Index,0.55,0.7,-16.76,22.03,0,,6.78,0,,71.19,100,
Prabhudas-Aqua Strategy,Prabhudas Lilladher Pvt Ltd,PMS,395.31,-3.91,,,7.15,Equity,Equity: Flexi Cap,-0.53,,-0.59,,-20.77,152,,,,,,Mr. Siddharth Vora,12-Jun-23,2.79,20.67,23.98,15.78,,-17.33,,-8.65,,S&P BSE 500 Total Return Index,0.48,,-15.59,51.18,,,3.15,,,45.67,,
Right Horizon- Supervalue Aggressive,Right Horizons Pvt Ltd,PMS,87.25,-4.18,,,5.12,Equity,Equity: Small Cap,-0.24,,-0.31,,-29.29,86,,,,,,"Prabhat Ranjan, Vijay Chauhan",31-Mar-23,,,27.92,27.02,,-4.44,,-7.23,,S&P BSE 500 Total Return Index,1.46,,-15.24,16.73,,,2.09,,,81.18,,
MOAT-Emerging Moat,MOAT Financial Services,PMS,58.14,-5.62,16.58,,-0.46,Equity,Equity: Multi Cap,-0.49,0.69,-0.75,1.09,-20.82,79,157,-24.51,,,,"Sudheesh M, Ramakrishnan TB",26-Sep-22,,,15.94,19.68,16.01,-7.39,10.73,-10.38,0.43,S&P BSE 500 Total Return Index,1.31,1.03,-13.02,18.38,0,,3.91,0,,77.71,100,
MOAT-Moderate Compounders,MOAT Financial Services,PMS,17.22,-6.9,16.24,20.75,0.22,Equity,Equity: Multi Cap,-0.56,0.66,-0.78,1.01,-21.38,114,152,-25.21,,,,"Sudheesh M, Ramakrishnan TB",12-Nov-13,,,11.74,19.63,16.5,-8.43,10.11,-11.61,-0.22,S&P BSE 500 Total Return Index,1.3,1.07,-36.29,24.91,24.93,12.41,3.19,1.68,0.86,71.9,73.39,86.73
Purnartha Dynamic Midcap,Purnartha Investment Advisers Pvt Ltd.,PMS,245.81,11.33,,,1.71,Equity,Equity: Mid Cap,0.34,,0.45,,-16.33,60,,,92,,,Rohit Jain,16-Feb-23,6.51,36.33,17.36,20.8,,5.24,,6.46,,S&P BSE 500 Total Return Index,1.37,,-0.71,0,,,4.97,,,95.03,,
Wright Factor Fund,Wright Research & Capital Private Limited,PMS,234.87,-8.92,,,1.5,Equity,Equity: Flexi Cap,-0.63,,-0.62,,-27.91,117,,,,,,Sonam Srivastava,18-Aug-23,,38.4,22.7,20.49,,-13.88,,-13.35,,S&P BSE 500 Total Return Index,0.93,,-18.52,58.05,,,2.72,,,39.23,,
Karma CapitalJasmine,Karma Capital,PMS,30.96,3.93,,,-0.61,Equity,Equity: Multi Cap,-0.06,,-0.12,,-18.02,121,,,,,,Vinaj Jain,28-Aug-23,,,12.54,16.11,,-1.02,,-1.74,,S&P BSE 500 Total Return Index,0.95,,-2.07,12.7,,,0,,,87.3,,
PGIM India Equity Portfolio,PGIM India Asset Management Pvt Ltd,PMS,143.2,-3.65,,,2.07,Equity,Thematic,-0.37,,-0.46,,-21.6,82,,,,,,Surjitt Singh Arora,19-Jan-23,6.18,31.42,18.32,20.15,,-5.28,,-10.84,,NIFTY 50 Total Return Index,1.42,,-10.9,16.87,,,6.44,,,76.69,,
AXIS SECURITIES ALPHASENSE AI,Axis Securities Ltd,PMS,11.77,-13.1,,,-0.5,Equity,Equity: Multi Cap,-1.19,,-1.3,,-20.15,110,,,,,,Naveen Kulkarni,10-Oct-23,7.65,27.05,8,15.41,,-19.47,,-18.76,,S&P BSE 500 Total Return Index,0.94,,-21.19,67.53,,,1.29,,,31.19,,
Buglerock - Growth Opportunities Portfolio,BugleRock Capital Pvt Ltd,PMS,2.61,-1.92,,,-0.12,Equity,Thematic,-0.35,0.36,-0.54,0.55,-18.99,114,158,-26.3,126,,,Apurva Sharma,16-Nov-22,,,10.43,17.7,14.92,-5.32,,-6.73,,S&P BSE 500 Total Return Index,1.15,,-15.33,37.99,,,1.96,,,60.06,,
Motilal Oswal - India Growth Strategy,Motilal Oswal Asset Management,PMS,282.39,-6.42,,,-0.89,Equity,Equity: Multi Cap,-0.36,,-0.65,,-29.94,77,,,,,,Vaibhav Agrawal,1-Nov-23,5.37,64.69,20.22,25.65,,-6.12,,-9.98,,S&P BSE 500 Total Return Index,1.51,,-14.64,24.32,,,1.91,,,73.77,,
Pace - Tresor SKG,Pace Financial Investment Adviser Pvt Ltd,PMS,10.42,20.07,,,-15.01,Multi Asset,Multi Asset,,,,,,,,,,,,Amit Goel,26-Jul-23,,,28.79,,,,,,,NSE Multi Asset Index 1,,,15.66,0,,,0,,,100,,
Prabhudas Lilladher - Multi Asset Dynamic Portfolio Alpha,Prabhudas Lilladher Pvt Ltd,PMS,,3.53,,,3.5,Multi Asset,Multi Asset,-0.09,,-0.09,,-17.28,115,,,135,,,Mr. Siddharth Vora,21-Sep-23,6.49,51.68,14.68,12.22,,-0.91,,-7.75,,NSE Multi Asset Index 1,1.14,,-14.15,60.93,,,6.88,,,32.19,,
Ace Focused 10 Strategy,Ace Lansdowne Investments Services LLP,PMS,212.8,40.4,,,3.3,Equity,Equity: Multi Cap,2.33,,19.68,,,,,,,,,Vikram Kotak,7-Oct-22,,,30.1,12.15,,56.78,,18.97,,NIFTY 50 Total Return Index,0.47,,28.39,0,,,0,,,100,,
East Green-Agile Strategy,East Green Advisors LLP,PMS,65.41,-4.56,,,2.48,Equity,Equity: Flexi Cap,-0.32,,-0.39,,-24.1,60,,,,,,Vinay Arya,6-Jul-23,,,14.83,23.63,,-5.47,,-8.37,,S&P BSE 500 Total Return Index,1.4,,-11.8,32.02,,,6.4,,,61.57,,
Accuracap - dynamo,Accuracap Consultancy Services Pvt Ltd,PMS,15.42,3.2,32,31.7,-1.8,Equity,Equity: Small Cap,-0.01,1.1,-0.01,1.85,-18.93,29,152,-21.64,122,153,,"Raman Nagpal, Naresh Gupta",31-Dec-16,,,24.5,23.16,22.64,-0.12,21.22,-0.83,12.82,S&P BSE 500 Total Return Index,1.31,1.18,-41.75,28.65,14.31,0,4.3,2.81,0,67.05,82.88,100
Wallfort-Diversified Fund,Wallfort PMS and Advisory Services LLP,PMS,368.49,11.34,45.7,47.57,6.88,Equity,Equity: Mid & Small Cap,0.32,2.02,0.26,7.33,,,104,-19.51,,69,,Vijay Bharadia,1-Nov-18,,,26.61,26.46,27.99,6.99,,7.96,,S&P BSE 500 Total Return Index,1.23,,-67.54,25.81,0,0,2.63,0,0,71.57,100,100
Wallfort-Avenue Fund,Wallfort PMS and Advisory Services LLP,PMS,132.42,11.99,29.85,,15.19,Equity,Equity: Mid & Small Cap,0.39,1.69,0.63,5.11,,,112,-15.35,,65,,Kaushal Kedia,1-Apr-22,,,26.77,19.13,20.42,8.84,,7.03,,S&P BSE 500 Total Return Index,0.84,,0.32,0,,,2.53,,,97.47,,
Fort Capital -Dynamic,Fort Capital Investment Advisory Pvt Ltd,PMS,177.12,13.55,,,7.41,Equity,Equity: Multi Cap,0.54,,0.75,,-12.95,79,,,88,,,Ishan Thakkar,3-Jan-24,2.63,21.17,24.89,14.98,,6.93,,5.4,,NIFTY 50 Total Return Index,1.18,,3.08,0,,,0,,,100,,
Dynamic Equities-Smallcap,Dynamic Equities Pvt Ltd,PMS,48.83,-20.76,,,-0.63,Equity,Equity: Small Cap,-0.93,,-1.07,,-32.53,95,,,,,,Shailesh Saraf,9-Jan-24,7.36,50.92,-0.61,26.87,,-18.59,,-28.12,,NIFTY 50 Total Return Index,1.34,,-26.15,77.78,,,1.68,,,20.54,,
Merisis Multicap Portfolio,Merisis Advisors Private Limited,PMS,8.13,3.27,10.1,15.63,4.61,Equity,Equity: Multi Cap,0.03,0.38,0.06,0.56,-17.18,77,214,-22.25,231,,,Akshay Badjate,5-Feb-20,3.77,27.12,17.46,17.29,12.64,0.46,6.2,-2.38,-1.48,NIFTY 50 Total Return Index,1.26,0.77,-12.11,10.69,0,0,2.95,0,0,86.37,100,100
East Green-Quant Strategy,East Green Advisors LLP,PMS,3.96,-6.75,,,1.78,Equity,Equity: Flexi Cap,-0.65,,-0.85,,-18.36,152,,,,,,Pratik Karmakar,3-May-24,,,1.3,17.31,,-32.16,,-11.4,,S&P BSE 500 Total Return Index,0.35,,-15.79,100,,,0,,,0,,
Northern Arc Credit Opportunities Strategy,Northern Arc Investment Managers Pvt Ltd.,PMS,6.57,13.77,,,3.76,Debt,Debt,1.03,,,,,,,,,,,Northern Arc Investment Managers Private Limited,29-Feb-24,,,11.9,3,,5.22,,0.37,,CRISIL Credit Index,0.59,,,,,,,,,,,
ASK Lighthouse,ASK Investment Managers,PMS,599.24,-4.58,,,-0.6,Equity,Equity: Multi Cap,-0.26,,-0.34,,-27.07,79,,,,,,Sandip Bansal,7-Mar-24,5.06,32.05,10.74,26.92,,-4.06,,-7.8,,S&P BSE 500 Total Return Index,1.71,,-12.78,58.16,,,3.77,,,38.08,,
Maxiom PMS - JEWEL Large-Mid Cap Quality-Growth Strategy Portfolio,Maxiom Asset Management,PMS,67.7,3.29,,,3.51,Equity,Equity: Large & Mid Cap,,,,,,,,,,,,RAM KALYAN KUMAR MEDURY,1-Jun-23,,,8.92,,,,,,,NIFTY 50 Total Return Index,,,,,,,,,,,,
Maxiom PMS - SPARK Small Cap Quality Growth Strategy,Maxiom Asset Management,PMS,19.88,-7.91,,,-3.44,Equity,Equity: Small Cap,,,,,,,,,,,,RAM KALYAN KUMAR MEDURY,1-Jun-23,,,14.03,,,,,,,NIFTY 50 Total Return Index,,,,,,,,,,,,
Maxiom PMS - EMERALD-Diversified Mutual Fund Portfolio,Maxiom Asset Management,PMS,1.31,,,,3.1,Equity,Equity: Multi Cap,,,,,,,,,,,,RAM KALYAN KUMAR MEDURY,1-Jun-23,,,7.34,,,,,,,NIFTY 50 Total Return Index,,,,,,,,,,,,
Maxiom PMS - GEM Quality-Momentum Strategy Portfolio,Maxiom Asset Management,PMS,5.15,-11.66,,,-10.17,Equity,Equity: Multi Cap,,,,,,,,,,,,RAM KALYAN KUMAR MEDURY,1-Jun-23,,,0.83,,,,,,,NIFTY 50 Total Return Index,,,,,,,,,,,,
Neo Yield Enhancer,Neo Asset Management Limited,PMS,860.96,11.8,,,2.75,Debt,Debt,14.84,,,,,,,,,,,"Rubin Chheda, Puneet Jain, Abishek Goel",24-Jan-24,,,11.65,0.38,,87.27,,5.53,,NIFTY Medium to Long Duration Debt Index,0.06,,,,,,,,,,,
Ckredence Wealth Management Pvt Ltd - ICE Growth,Ckredence Wealth Management Pvt. Ltd.,PMS,148.51,8.29,,,3.6,Equity,Equity: Flexi Cap,0.21,,0.26,,-20.58,76,,,198,,,Kartik Bhaskerray Mehta,1-Oct-24,13.21,130.53,6.53,19.82,,3.39,,3.57,,S&P BSE 500 Total Return Index,1.24,,3.05,0,,,0,,,100,,
WHITE WHALE PARTNERS LLP - RISING STAR PF,White Whale Partners LLP,PMS,4.46,22.03,,,4.85,Equity,Equity: Multi Cap,0.93,,1.72,,-15.25,79,,,87,,,Hardik Doshi,1-Oct-24,5.07,63.72,17.23,16.92,,14.67,,13.23,,NIFTY 50 Total Return Index,1.07,,12.93,0,,,0,,,100,,
Prudent Equity Growth Strategy,Prudent Equity Pvt. Ltd,PMS,29.82,0.43,,,3.46,Equity,Equity: Multi Cap,-0.32,,-0.35,,-11.21,29,,,,,,Diwakar Rana,2-Jul-24,,,-0.37,13.39,,-5.07,,-4.78,,S&P BSE 500 Total Return Index,0.86,,-8.29,99.18,,,0.82,,,0,,
Sincere - Fixed Income plus Fund,Sincere Syndication And Corporate Services LLP,PMS,33.27,3.27,,,2.59,Multi Asset,Multi Asset,-0.36,,-0.45,,-6.64,74,,,101,,,Sivaramakrishnan Raghavan,25-May-23,,,9.38,5.9,,-2.97,,-3.76,,NSE Multi Asset Index 2,0.72,,1.67,0,,,0,,,100,,
Sincere - Metamorphosis Fund,Sincere Syndication And Corporate Services LLP,PMS,339.34,-9.69,,,3.16,Equity,Equity: Flexi Cap,-0.57,,-0.75,,-28.19,117,,,,,,Sivaramakrishnan Raghavan,5-May-23,,,13.25,23.08,,-8.97,,-13.8,,S&P BSE 500 Total Return Index,1.46,,-15.36,43.96,,,2.75,,,53.3,,
Fyers Genesis Fund,Fyers Asset Management Private Limited,PMS,17.29,6.7,,,2.29,Equity,Equity: Mid & Small Cap,0.13,,0.16,,-8.93,77,,,81,,,Gopal Kavalireddi,23-Sep-24,,34.8,6.08,12.77,,2.12,,1.22,,S&P BSE 500 Total Return Index,0.76,,1.84,0,,,0,,,100,,
TRADESWIFT BROKING-MULTI ASSET,TRADESWIFT BROKING PRIVATE LIMITED,PMS,59.26,-0.12,,,1.74,Equity,Multi Asset,-0.13,,-0.17,,-26.17,82,,,,,,Mr. MANISH AGARWAL,6-Mar-24,3.48,23.87,16.12,24.06,,-1.14,,-9.09,,NSE Multi Asset Index 2,2.69,,-6.45,23.33,,,15,,,61.67,,
Angel One -Ionic PIPE Strategy,Ionic Asset Management,PMS,46.76,,,,3.54,Equity,Equity: Flexi Cap,,,,,,,,,,,,Harsh Gupta,8-Jan-25,3.5,28.82,4.35,,,,,,,S&P BSE 500 Total Return Index,,,,,,,,,,,,
TCG Transformative Growth Portfolio,TCG Advisory Service Pvt Ltd,PMS,100.44,3.75,,,-0.56,Equity,Equity: Small Cap,-0.08,,-0.11,,-11.58,83,,,84,,,Shahzad Madon,11-Oct-24,4.83,34.24,2.1,13.41,,-1.27,,-1.57,,S&P BSE 500 Total Return Index,0.88,,-0.65,0,,,47.62,,,52.38,,
Shriram LEAPS,Shriram Asset Management Company Limited,PMS,0.29,,,,5.9,Equity,Equity: Large & Mid Cap,,,,,,,,,,,,Mr.Hitesh Savanth,17-Feb-25,,,14.15,,,,,,,NIFTY 50 Total Return Index,,,,,,,,,,,,
Shriram Future GEMS,Shriram Asset Management Company Limited,PMS,0.29,,,,4.6,Equity,Equity: Mid & Small Cap,,,,,,,,,,,,Mr.Ketankumar Shah,17-Feb-25,,,29.79,,,,,,,NIFTY 50 Total Return Index,,,,,,,,,,,,
Xylem Maverick Strategy,Brightseeds Advisors LLP,PMS,,,,,-4.01,Equity,Equity: Mid & Small Cap,,,,,,,,,,,,Vinit Gala,31-Jan-25,,,6.12,,,,,,,S&P BSE 500 Total Return Index,,,,,,,,,,,,
Incred Active Momentum Strategy,InCred Capital Investment Advisors And Managers Pvt Ltd,PMS,15.4,,,,-0.2,Equity,Equity: Large & Mid Cap,,,,,,,,,,,,VAIBHAV SHAH,6-Feb-25,5.96,38.6,1.8,,,,,,,S&P BSE 500 Total Return Index,,,,,,,,,,,,
Maxiom PMS - DIAMOND Diversified Mutual Funds Retirement Planning,Maxiom Asset Management,PMS,1.52,,,,2.34,Equity,Equity: Multi Cap,,,,,,,,,,,,RAM KALYAN KUMAR MEDURY,1-Jun-23,,,7.15,,,,,,,NIFTY 50 Total Return Index,,,,,,,,,,,,
ELEVER INVESTMENT ADVISOR PRIVATE LIMITED -FACTORCORE PMS,ELEVER INVESTMENT ADVISER PRIVATE LIMITED,PMS,0.27,,,,,Equity,Equity: ,,,,,,,,,,,,Karan,12-Aug-25,,,6.52,,,,,,,S&P BSE 500 Total Return Index,,,,,,,,,,,,
ASK Life Portfolio,ASK Investment Managers,PMS,74.03,-1.31,5.2,12.63,4.56,Equity,Equity: Large Cap,-0.32,0.03,-0.42,0.05,-18.92,74,152,-23.28,,,,George HeberJoseph,1-Sep-08,5.07,36.46,14.21,17.6,14.77,-4.21,0.47,-8.66,-8.25,NIFTY 50 Total Return Index,1.32,1.08,-21.64,21,1,0.02,3.35,0.25,0.04,75.65,98.74,99.93
ASK Strategic,ASK Investment Managers,PMS,53.47,-4.11,9.8,16.72,1.15,Equity,Equity: Mid Cap,-0.3,0.3,-0.45,0.44,-22.97,79,152,-24.09,,,,George HeberJoseph,31-Dec-09,5.95,44.66,14.21,23.91,16.94,-4.51,4.59,-8.03,-6.41,S&P BSE 500 Total Return Index,1.6,1.12,-24.3,24.78,2.43,0,3.01,1.26,0,72.21,96.31,100
White Pine India Emerging Stars Approach,White Pine Investment Management Private Limited,PMS,405.16,10.32,38.73,,3.12,Equity,Equity: Multi Cap,0.28,1.36,0.47,2.37,-26.38,77,77,-26.38,93,93,,"Niraj Mansingka, Manish Karwa",20-May-22,3.3,21.85,39.92,26.82,22.03,,,,,MSEI SX 40 - Total Return Index,,,-2.55,0.22,0,,0.89,0,,98.88,100,
Upside AI - Flexicap,Upside AI,PMS,36.55,-21.47,,,-3.32,Equity,Equity: Multi Cap,-1.57,0.53,-2.49,0.81,,,,,,,,Kanika Agarrwal,1-Jul-19,0,0,10.12,16.92,24.49,,,-28.57,-1.38,NIFTY 500 Index,0.9,0.86,-28.67,19.42,0,,0,0,,80.58,100,
Sundaram Alternate - Rising Stars,Sundaram Alternate Assets Ltd,PMS,81.08,11.34,10.84,20.72,13.59,Equity,Equity: Small Cap,0.33,0.35,0.4,0.56,-20.79,82,82,-20.79,134,134,,Madanagopal Ramu,25-Nov-09,4.5,37.81,14.35,22.45,17.27,5.42,6.67,6.8,-3.32,S&P BSE 500 Total Return Index,1.38,0.91,-39.95,28.57,10.77,0,5.1,0.65,0,66.33,88.58,100
Axis - Core & Satellite PMS,Axis Asset Management Company Ltd,PMS,100.49,-0.68,12.36,15.41,3.12,Equity,Equity: Multi Cap,-0.28,0.49,-0.32,0.68,-21.45,117,204,-25.42,,,,Hitesh Zaveri,25-Nov-19,3.25,25.92,12.35,17.54,14.56,-4.05,7.08,-7.71,-1.04,NIFTY 50 Total Return Index,1.21,1.01,-13.5,19.08,0,0,4.99,0,0,75.93,100,100
Capgrow - Growth,CapGrow Capital Advisors LLP,PMS,61.04,-5.44,10.48,17.66,-1.56,Equity,Equity: Multi Cap,-0.54,0.4,-0.73,0.65,-20.99,82,160,-23.07,,,,Arun Malhotra,31-Oct-18,,,11.75,17.85,15.04,-8.53,5.98,-10.29,-4.32,S&P BSE 500 Total Return Index,1.14,1,-38.38,25.54,0,0,4.97,0,0,69.49,100,100
Emkay Investments - Gems,Emkay Investments,PMS,,-12.88,13.08,18.27,-6.64,Equity,Equity: Mid Cap,-0.99,0.52,-1.6,0.88,-22.78,121,152,-22.8,,,,Kashyap Jhaveri,3-Mar-20,,,18.01,18.05,15.43,-15.8,8.05,-6.23,-2.09,S&P BSE 500 Total Return Index,1.13,0.99,-12.87,11.12,0,0,9.24,0,0,79.64,100,100
Centrum PMS - Deep Value IV,Centrum PMS,PMS,25.51,-9.62,13.22,18.95,-0.51,Equity,Equity: Mid Cap,-0.63,0.45,-0.85,0.75,-25.66,76,138,-27.31,,,,Abul Fateh,18-Dec-15,4.55,40.43,15.82,21.49,19.14,-10.36,7.97,-14.2,-2.53,S&P BSE 500 Total Return Index,1.31,1.08,-24.07,27.37,3.03,0,1.91,0.04,0,70.72,96.93,100
Accuracap - Alpha 10,Accuracap Consultancy Services Pvt Ltd,PMS,112.02,1.4,11.4,12.4,3.1,Equity,Equity: Large Cap,-0.19,0.47,-0.3,0.66,-13.99,91,121,-20.16,122,,,"Raman Nagpal, Naresh Gupta",19-Sep-11,,,13.6,15.97,12.93,-2.45,6.08,-6.02,-2.02,NIFTY 50 Total Return Index,1.25,0.99,-13.62,12.27,0,0,5.07,0,0,82.66,100,100
